Objects,,,,,,,
100,,,,,,,
,,Global Angle jet1:jet1,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
32,0,0.006106,0.003084,-0.142551,74.084038,102.858215,157.225021
33,0,0.004719,0.002757,-0.141606,74.001633,102.956772,157.243179
34,0,0.006195,0.003096,-0.142545,74.058006,102.861664,157.224304
35,0,0.006117,0.003036,-0.142242,74.009102,102.810555,157.236664
36,0,0.006192,0.003125,-0.1426,74.047287,102.856094,157.23848
37,0,0.005958,0.003173,-0.142611,74.042709,102.849892,157.221878
38,0,0.006277,0.003151,-0.142653,74.069695,102.847099,157.23111
39,0,0.006241,0.003068,-0.142639,74.069473,102.846039,157.236633
40,0,0.004883,0.00295,-0.141691,73.994705,102.959404,157.227249
41,0,0.00466,0.002789,-0.141676,74.018982,102.972908,157.236404
42,0,0.006091,0.003061,-0.142604,74.060661,102.865166,157.220749
43,0,0.005923,0.003044,-0.142506,74.050652,102.868881,157.221664
44,0,0.006064,0.003135,-0.142529,74.051132,102.856178,157.240448
45,0,0.00646,0.003215,-0.14266,74.064941,102.84314,157.249374
46,0,0.006068,0.003112,-0.142484,74.045303,102.867889,157.233658
47,0,0.006769,0.002829,-0.142524,74.047905,102.836487,157.19635
48,0,0.004772,0.002813,-0.141653,73.999252,102.973495,157.226715
49,0,0.0066,0.002828,-0.142427,74.051392,102.853867,157.185699
50,0,0.00491,0.002848,-0.141419,74.000153,102.898796,157.213104
51,0,0.006028,0.003024,-0.142576,74.079887,102.865463,157.22789
52,0,0.004799,0.002844,-0.141626,74.01049,102.985146,157.231415
53,0,0.004719,0.002897,-0.141799,74.023544,102.948891,157.19165
54,0,0.006361,0.002994,-0.142376,74.037392,102.820389,157.221115
55,0,0.005256,0.002791,-0.142068,74.035759,102.947044,157.205368
56,0,0.006202,0.003025,-0.142614,74.066956,102.888588,157.205032
57,0,0.004754,0.002735,-0.141289,74.009338,102.931229,157.217133
58,0,0.006334,0.003046,-0.142335,74.057396,102.82605,157.213928
59,0,0.004684,0.002845,-0.141679,74.074158,102.974579,157.198975
60,0,0.00611,0.003091,-0.142554,74.083282,102.89061,157.207245
61,0,0.00629,0.003101,-0.142573,74.080177,102.878952,157.211792
62,0,0.006317,0.003011,-0.142631,74.073891,102.877281,157.213242
63,0,0.006223,0.003129,-0.142592,74.077591,102.88063,157.215637
64,0,0.00613,0.003126,-0.142487,74.077347,102.88562,157.210098
65,0,0.006321,0.003013,-0.142287,74.052986,102.821259,157.228775
66,0,0.006201,0.003113,-0.142626,74.07869,102.885666,157.221069
67,0,0.006376,0.003075,-0.142708,74.074753,102.886185,157.233932
68,0,0.006275,0.003025,-0.14226,74.056824,102.838158,157.218887
69,0,0.004772,0.002813,-0.141632,74.07354,103.003471,157.213455
70,0,0.006363,0.003131,-0.142647,74.111458,102.901573,157.233871
71,0,0.006307,0.003119,-0.142567,74.088226,102.898331,157.23262
72,0,0.006365,0.003068,-0.142607,74.059769,102.913315,157.220901
73,0,0.006098,0.003105,-0.14252,74.056152,102.896408,157.233871
74,0,0.006739,0.00293,-0.142428,74.064323,102.863831,157.193497
75,0,0.006258,0.003173,-0.142586,74.058121,102.890129,157.217392
76,0,0.00601,0.003239,-0.142413,74.072433,102.891296,157.21608
77,0,0.006189,0.003177,-0.142565,74.088455,102.887512,157.230042
78,0,0.00611,0.003142,-0.142575,74.072304,102.910736,157.227417
79,0,0.004628,0.002788,-0.141651,74.023727,103.001411,157.240616
80,0,0.00597,0.003129,-0.142436,74.04039,102.917427,157.209885
81,0,0.005887,0.003159,-0.142443,74.069458,102.907486,157.219208
82,0,0.005995,0.00308,-0.142562,74.05616,102.901802,157.221802
83,0,0.006233,0.003101,-0.142563,74.052689,102.887131,157.218094
84,0,0.006088,0.003132,-0.142513,74.054535,102.864532,157.222565
85,0,0.005221,0.002896,-0.141953,74.037415,102.919754,157.233292
86,0,0.006258,0.003041,-0.142608,74.08918,102.878494,157.225906
87,0,0.006241,0.003128,-0.142559,74.085419,102.887314,157.206284
88,0,0.004772,0.002771,-0.141659,74.023094,102.983459,157.230362
